P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
840.0000 292.7525 8.0444 0 0
839.0000 292.6881 7.9177 0 0
838.0000 292.6450 7.8734 0 0
837.0000 292.6078 7.9402 0 0
836.0000 292.5483 7.8072 0 0
835.0000 292.5043 7.6500 0 0
834.0000 292.4655 7.5686 0 0
833.0000 292.4309 7.4150 0 0
832.0000 292.3889 7.1990 0 0
831.0000 292.3741 6.9939 0 0
830.0000 292.3406 6.8938 0 0
829.0000 292.3300 6.8437 0 0
828.0000 292.3042 6.8008 0 0
827.0000 292.2800 6.7793 0 0
826.0000 292.2400 6.7684 0 0
825.0000 292.2202 6.9630 0 0
824.0000 292.1900 7.3594 0 0
823.0000 292.1700 7.6359 0 0
822.0000 292.1304 7.7744 0 0
821.0000 292.0800 7.9110 0 0
820.0000 292.0305 8.0520 0 0
819.0000 291.9631 8.2632 0 0
818.0000 291.9074 8.3528 0 0
817.0000 291.8482 8.4365 0 0
816.0000 291.7877 8.5662 0 0
815.0000 291.7129 8.6469 0 0
814.0000 291.6350 8.6929 0 0
813.0000 291.6029 8.7236 0 0
812.0000 291.5600 8.7213 0 0
811.0000 291.4870 8.6857 0 0
810.0000 291.4200 8.4697 0 0
809.0000 291.3498 8.2328 0 0
808.0000 291.2940 8.1651 0 0
807.0000 291.2400 8.0764 0 0
806.0000 291.1700 8.0326 0 0
805.0000 291.1289 8.0221 0 0
804.0000 291.0576 7.9984 0 0
803.0000 290.9948 7.9679 0 0
802.0000 290.9227 7.9188 0 0
801.0000 290.8365 7.8710 0 0
800.0000 290.7533 7.8298 0 0
799.0000 290.6820 7.8044 0 0
798.0000 290.5879 7.7792 0 0
797.0000 290.5152 7.7537 0 0
796.0000 290.4154 7.7303 0 0
795.0000 290.3152 7.7067 0 0
794.0000 290.2260 7.6884 0 0
793.0000 290.1433 7.6732 0 0
792.0000 290.0277 7.6457 0 0
791.0000 289.9423 7.6323 0 0
790.0000 289.8499 7.6206 0 0
789.0000 289.7714 7.6074 0 0
788.0000 289.6666 7.5816 0 0
787.0000 289.5634 7.5304 0 0
786.0000 289.4756 7.4960 0 0
785.0000 289.4111 7.4859 0 0
784.0000 289.3233 7.4435 0 0
783.0000 289.2320 7.3962 0 0
782.0000 289.1289 7.3362 0 0
781.0000 289.0528 7.3005 0 0
780.0000 288.9803 7.2587 0 0
779.0000 288.9110 7.2296 0 0
778.0000 288.8300 7.1881 0 0
777.0000 288.7618 7.1488 0 0
776.0000 288.6815 7.1247 0 0
775.0000 288.6305 7.0492 0 0
774.0000 288.5911 7.0207 0 0
773.0000 288.5282 7.0019 0 0
772.0000 288.4500 6.9901 0 0
771.0000 288.3635 6.9733 0 0
770.0000 288.3091 6.9738 0 0
769.0000 288.2409 6.9793 0 0
768.0000 288.1772 6.9872 0 0
767.0000 288.1429 7.0042 0 0
766.0000 288.0864 7.0014 0 0
765.0000 288.0434 7.0181 0 0
764.0000 287.9923 7.1652 0 0
763.0000 287.9325 6.8781 0 0
762.0000 287.8776 6.7331 0 0
761.0000 287.7821 6.5987 0 0
760.0000 287.7684 6.3679 0 0
759.0000 287.7182 6.1711 0 0
758.0000 287.6473 5.9195 0 0
757.0000 287.5900 5.7869 0 0
756.0000 287.5500 5.6579 0 0
755.0000 287.5148 5.4799 0 0
754.0000 287.4814 5.3281 0 0
753.0000 287.4530 5.1057 0 0
752.0000 287.3923 4.9393 0 0
751.0000 287.3250 4.8441 0 0
750.0000 287.2715 4.8210 0 0
749.0000 287.2200 4.7424 0 0
748.0000 287.1281 4.5266 0 0
747.0000 287.0429 4.4027 0 0
746.0000 286.9769 4.2587 0 0
745.0000 286.9108 4.1735 0 0
744.0000 286.8772 3.9483 0 0
743.0000 286.8686 3.8147 0 0
742.0000 286.8400 3.7084 0 0
741.0000 286.8236 3.6107 0 0
740.0000 286.8319 3.5198 0 0
739.0000 286.8354 3.4559 0 0
738.0000 286.8197 3.4033 0 0
737.0000 286.7644 3.4167 0 0
736.0000 286.7710 3.3210 0 0
735.0000 286.7136 3.3350 0 0
734.0000 286.6803 3.4311 0 0
733.0000 286.6425 3.3811 0 0
732.0000 286.5749 3.3735 0 0
731.0000 286.4845 3.4124 0 0
730.0000 286.4169 3.5312 0 0
729.0000 286.3440 3.7393 0 0
728.0000 286.2400 3.7432 0 0
727.0000 286.1543 3.8988 0 0
726.0000 286.0903 3.4801 0 0
725.0000 286.0564 2.7136 0 0
724.0000 286.0122 2.4065 0 0
723.0000 286.0537 2.2972 0 0
722.0000 285.9928 2.0673 0 0
721.0000 285.9521 1.9521 0 0
720.0000 285.8700 1.8088 0 0
719.0000 285.8016 1.6311 0 0
718.0000 285.7768 1.5385 0 0
717.0000 285.7573 1.4637 0 0
716.0000 285.6994 1.4090 0 0
715.0000 285.6862 1.3099 0 0
