P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
840.0000 291.5292 7.8291 0 0
839.0000 291.5743 7.7133 0 0
838.0000 291.3882 7.6694 0 0
837.0000 291.3283 7.7253 0 0
836.0000 291.2635 7.6019 0 0
835.0000 291.2272 7.4557 0 0
834.0000 291.2573 7.3831 0 0
833.0000 291.2169 7.2323 0 0
832.0000 291.0556 7.0465 0 0
831.0000 290.9687 6.8629 0 0
830.0000 290.9790 6.7696 0 0
829.0000 290.9327 6.7193 0 0
828.0000 290.8229 6.6790 0 0
827.0000 290.8309 6.6595 0 0
826.0000 290.8096 6.6394 0 0
825.0000 290.7441 6.8147 0 0
824.0000 290.9377 7.1623 0 0
823.0000 290.8300 7.4018 0 0
822.0000 290.7794 7.5300 0 0
821.0000 290.7460 7.6392 0 0
820.0000 290.6732 7.7606 0 0
819.0000 290.6571 7.9517 0 0
818.0000 290.5805 8.0298 0 0
817.0000 290.5197 8.0927 0 0
816.0000 290.4687 8.2109 0 0
815.0000 290.4573 8.2666 0 0
814.0000 290.4300 8.3064 0 0
813.0000 290.3593 8.3331 0 0
812.0000 290.3409 8.3194 0 0
811.0000 290.2411 8.2915 0 0
810.0000 290.1609 8.0960 0 0
809.0000 290.1427 7.8886 0 0
808.0000 289.9595 7.8135 0 0
807.0000 289.9404 7.7333 0 0
806.0000 289.9397 7.6862 0 0
805.0000 289.7921 7.6750 0 0
804.0000 289.8016 7.6467 0 0
803.0000 289.7175 7.6163 0 0
802.0000 289.5976 7.5680 0 0
801.0000 289.6182 7.5242 0 0
800.0000 289.3723 7.4803 0 0
799.0000 289.3888 7.4537 0 0
798.0000 289.2561 7.4294 0 0
797.0000 289.1947 7.3986 0 0
796.0000 289.1546 7.3782 0 0
795.0000 288.9921 7.3553 0 0
794.0000 288.9241 7.3277 0 0
793.0000 288.8068 7.3094 0 0
792.0000 288.8207 7.2764 0 0
791.0000 288.6795 7.2668 0 0
790.0000 288.5698 7.2455 0 0
789.0000 288.3374 7.2336 0 0
788.0000 288.2758 7.2120 0 0
787.0000 288.1705 7.1602 0 0
786.0000 288.2038 7.1175 0 0
785.0000 288.0494 7.1055 0 0
784.0000 288.0532 7.0635 0 0
783.0000 287.8896 7.0178 0 0
782.0000 287.7670 6.9682 0 0
781.0000 287.6838 6.9262 0 0
780.0000 287.6525 6.8868 0 0
779.0000 287.4676 6.8565 0 0
778.0000 287.5250 6.8095 0 0
777.0000 287.4399 6.7860 0 0
776.0000 287.4400 6.7527 0 0
775.0000 287.3574 6.6739 0 0
774.0000 287.2145 6.6443 0 0
773.0000 287.1610 6.6241 0 0
772.0000 287.1517 6.6161 0 0
771.0000 286.9891 6.5919 0 0
770.0000 287.0166 6.5874 0 0
769.0000 286.8987 6.5874 0 0
768.0000 286.8791 6.5834 0 0
767.0000 286.7764 6.5994 0 0
766.0000 286.7117 6.5938 0 0
765.0000 286.7675 6.6055 0 0
764.0000 286.6472 6.7321 0 0
763.0000 286.4554 6.4745 0 0
762.0000 286.4809 6.3415 0 0
761.0000 286.4174 6.2168 0 0
760.0000 286.2859 6.0118 0 0
759.0000 286.3140 5.8387 0 0
758.0000 286.1007 5.6040 0 0
757.0000 286.1393 5.4891 0 0
756.0000 285.9287 5.3694 0 0
755.0000 285.9817 5.2056 0 0
754.0000 285.8205 5.0712 0 0
753.0000 285.8700 4.8713 0 0
752.0000 285.7431 4.7203 0 0
751.0000 285.7384 4.6330 0 0
750.0000 285.6946 4.6159 0 0
749.0000 285.5200 4.5349 0 0
748.0000 285.4558 4.3422 0 0
747.0000 285.3367 4.2274 0 0
746.0000 285.2607 4.0929 0 0
745.0000 285.1165 4.0222 0 0
744.0000 285.1242 3.8187 0 0
743.0000 285.1062 3.6946 0 0
742.0000 285.0800 3.5927 0 0
741.0000 285.0238 3.5138 0 0
740.0000 284.9712 3.4254 0 0
739.0000 285.0345 3.3650 0 0
738.0000 284.9264 3.3236 0 0
737.0000 284.8900 3.3263 0 0
736.0000 284.8829 3.2430 0 0
735.0000 284.8803 3.2518 0 0
734.0000 284.7363 3.3305 0 0
733.0000 284.7529 3.2852 0 0
732.0000 284.6422 3.2729 0 0
731.0000 284.6041 3.3084 0 0
730.0000 284.5200 3.4039 0 0
729.0000 284.4070 3.5837 0 0
728.0000 284.3598 3.5904 0 0
727.0000 284.2244 3.7155 0 0
726.0000 284.1662 3.3575 0 0
725.0000 284.0734 2.6665 0 0
724.0000 284.0370 2.3983 0 0
723.0000 284.0174 2.2980 0 0
722.0000 284.0188 2.0866 0 0
721.0000 283.9848 1.9895 0 0
720.0000 283.8596 1.8550 0 0
719.0000 283.8680 1.6974 0 0
718.0000 283.7980 1.6080 0 0
717.0000 283.7727 1.5370 0 0
716.0000 283.6039 1.4834 0 0
715.0000 283.6695 1.3940 0 0
714.0000 283.6271 1.3299 0 0
713.0000 283.5873 1.2493 0 0
712.0000 283.5365 1.2058 0 0
711.0000 283.4070 1.1445 0 0
710.0000 283.4587 1.0933 0 0
709.0000 283.3860 1.0378 0 0
708.0000 283.4512 0.9964 0 0
707.0000 283.3545 0.9863 0 0
706.0000 283.2394 0.9616 0 0
705.0000 283.1760 0.9505 0 0
704.0000 283.2212 0.9301 0 0
703.0000 283.0442 0.9226 0 0
702.0000 283.0271 0.9185 0 0
701.0000 282.9084 0.9082 0 0
700.0000 282.7667 0.9027 0 0
699.0000 282.6455 0.8896 0 0
698.0000 282.6042 0.8670 0 0
